                35 cm           12 cm           20 cm           20 cm
Current(mA)     Output(mW)      Output2(mW)     Output3(mW)     Output4(mW)
495             1.39            1.70            12.6            18.92
490             1.35            1.68            13.1            18.77
480             1.30            1.74            12.4            18.45
470             1.38            1.78            12.2            16.50
460             1.35            1.81            12.05           16.10
450             1.17            1.60            8.90            15.38
440             1.12            1.58            7.89            14.32
430             1.18            1.49            6.85            12.87
420             1.10            1.51            5.63            12.35
410             1.07            1.42            4.14            11.90
400             1.09            1.34            3.37            11.35
390             1.02            1.29            2.58            10.57
380             1.00            1.16            2.11            9.95
370             0.93            1.04            1.62            8.75
360             0.78            0.88            1.30            7.83
350             0.63            0.68            1.08            8.31
340             0.54            0.53            0.92            7.25
330             0.41            0.42            0.75            7.09
320             0.36            0.32            0.60            6.37
310             0.26            0.27            0.57            5.70
300             0.19            0.20            0.45            4.51
290             0.13            0.17            ----            3.86
280             0.10            0.14            ----            3.67
270             0.09            0.12            ----            2.64
260             0.06            0.09            ----            2.63
250             0.05            0.06            ----            2.57
240             0.03            0.05            ----            2.07
230             0.02            0.03            ----            1.45
220             0.01            0.02            ----            1.03
210             0.00            0.02            ----            0.89
200             0.00            0.01            ----            0.67
