                12 cm
Angle(deg)      Output(mW)
60              0.05
63              0.06
66              0.06
69              0.06
72              0.05
75              0.05
78              0.04
81              0.03
84              0.03
87              0.03
90              0.02
93              0.00
96              0.00
99              0.02
102             0.02
105             0.02
108             0.04
111             0.06
114             0.06
117             0.07
120             0.61
123             1.23
126             0.93
129             0.45
132             0.25
135             0.15
138             0.13
141             0.09
144             0.10
147             0.07
150             0.06
153             0.08
156             0.04
159             0.07
162             0.13
165             0.18
168             0.24
171             0.31
174             0.16
177             0.02
180             0.02
183             0.00
186             0.00
189             0.02
192             0.02
195             0.05
198             0.05
201             0.07
204             0.02
207             0.05
210             0.10
